DPCOEF,POROS,MMP,SOINIT,XKVH,SOLRAT,RF_1HCPV,RF_2HCPV
0.816,0.106,1524.538,0.385,0.1,8.754,2.393,3.156
0.882,0.094,1612.656,0.397,0.1,3.417,2.274,2.693
0.851,0.095,1449.112,0.383,0.1,6.743,2.239,2.799
0.843,0.101,1731.366,0.428,0.1,4.881,2.861,3.656
0.844,0.098,1733.209,0.356,0.07,2.794,1.824,2.365
0.795,0.1,1532.187,0.347,0.098,9.134,1.951,2.666
0.786,0.098,1470.034,0.391,0.079,5.917,2.559,3.494
0.865,0.099,1412.323,0.37,0.1,6.324,2.046,2.485
0.866,0.104,1623.406,0.415,0.1,6.14,2.633,3.213
0.879,0.101,1428.285,0.387,0.1,6.342,2.209,2.597
0.893,0.109,1660.223,0.379,0.1,6.687,2.099,2.404
0.815,0.103,1659.298,0.387,0.086,8.972,2.369,3.149
0.813,0.097,1636.405,0.375,0.09,9.582,2.197,2.934
0.863,0.097,1750.939,0.382,0.099,6.955,2.111,2.625
0.835,0.098,1560.942,0.402,0.1,5.008,2.531,3.252
0.844,0.104,1767.367,0.427,0.1,6.12,2.831,3.618
0.862,0.092,1381.526,0.388,0.1,7.623,2.243,2.747
0.886,0.097,1442.465,0.384,0.096,6.233,2.163,2.506
0.792,0.106,1572.391,0.419,0.1,4.085,2.993,4.034
0.797,0.102,1629.665,0.344,0.1,6.856,1.897,2.591
0.748,0.097,1376.339,0.382,0.1,9.11,2.559,3.618
0.824,0.097,1620.963,0.394,0.1,2.852,2.394,3.153
0.73,0.105,1535.227,0.404,0.096,2.567,3.011,4.236
0.808,0.105,1757.474,0.368,0.096,9.8,2.047,2.78
0.819,0.097,1610.157,0.393,0.1,8.427,2.455,3.231
0.785,0.099,1627.642,0.402,0.1,5.3,2.717,3.705
0.826,0.104,1801.065,0.398,0.1,2.231,2.306,3.091
0.728,0.103,1693.968,0.402,0.098,9.469,2.971,4.183
0.731,0.104,1580.872,0.409,0.1,8.354,3.159,4.413
0.868,0.1,1592.982,0.389,0.094,6.859,2.268,2.747
0.795,0.106,1648.259,0.354,0.1,8.338,2.006,2.742
0.756,0.098,1489.831,0.352,0.091,7.028,2.11,2.976
0.816,0.096,1426.322,0.427,0.1,7.39,3.053,3.994
0.857,0.102,1536.691,0.41,0.1,9.237,2.609,3.216
0.773,0.1,1700.272,0.417,0.1,5.253,3.016,4.139
0.831,0.105,1515.217,0.436,0.1,6.225,3.175,4.066
0.746,0.094,1453.417,0.416,0.097,8.249,3.221,4.471
0.736,0.104,1498.555,0.411,0.081,4.167,3.159,4.412
0.817,0.098,1659.615,0.408,0.093,6.812,2.683,3.536
0.819,0.102,1636.392,0.379,0.1,4.8,2.226,2.951
0.833,0.093,1663.139,0.442,0.093,2.406,3.164,4.082
0.849,0.101,1540.733,0.4,0.1,3.237,2.426,3.06
0.92,0.102,1766.411,0.375,0.085,2.908,1.892,2.043
0.815,0.099,1585.164,0.374,0.081,6.391,2.207,2.931
0.79,0.097,1604.143,0.422,0.1,2.959,3.037,4.106
0.862,0.1,1804.007,0.378,0.097,6.341,2.011,2.525
0.782,0.104,1838.926,0.349,0.1,7.871,1.797,2.558
0.805,0.098,1653.176,0.392,0.095,7.057,2.479,3.327
0.744,0.097,1800.332,0.422,0.1,7.993,3.199,4.474
0.725,0.097,1612.722,0.391,0.1,5.931,2.817,3.97
0.913,0.107,1535.183,0.421,0.1,7.905,2.596,2.821
0.872,0.098,1538.153,0.423,0.094,8.332,2.759,3.314
0.843,0.091,1618.236,0.427,0.096,4.007,2.879,3.658
0.801,0.103,1633.366,0.403,0.1,8.852,2.691,3.605
0.766,0.102,1581.302,0.412,0.1,9.49,3.019,4.147
0.763,0.095,1755.359,0.379,0.088,7.85,2.332,3.289
0.779,0.108,1577.138,0.36,0.089,9.77,2.144,2.969
0.82,0.101,1521.847,0.4,0.1,2.518,2.501,3.298
0.847,0.1,1337.904,0.34,0.093,3.201,1.717,2.189
0.837,0.099,1827.216,0.395,0.1,9.223,2.263,2.965
0.784,0.105,1722.17,0.36,0.094,2.247,1.976,2.777
0.909,0.097,1636.942,0.361,0.1,6.704,1.932,2.11
0.851,0.098,1725.351,0.428,0.095,4.15,2.82,3.568
0.821,0.095,1715.208,0.407,0.09,5.641,2.606,3.441
0.829,0.103,1789.244,0.407,0.1,5.091,2.513,3.312
0.802,0.101,1563.614,0.391,0.088,3.506,2.451,3.301
0.779,0.101,1616.934,0.391,0.1,6.686,2.581,3.542
0.794,0.097,1433.241,0.383,0.098,3.62,2.353,3.208
0.855,0.102,1820.986,0.393,0.086,5.257,2.186,2.793
0.719,0.103,1848.259,0.403,0.1,8.163,2.879,4.112
0.754,0.098,1705.154,0.371,0.1,7.355,2.295,3.24
0.734,0.104,1585.905,0.379,0.076,7.197,2.572,3.633
0.732,0.098,1598.968,0.397,0.099,6.002,2.9,4.069
0.876,0.103,1579.939,0.389,0.1,3.51,2.205,2.636
0.845,0.093,1529.774,0.422,0.1,5.563,2.837,3.579
0.81,0.101,1608.457,0.423,0.082,5.758,2.995,3.959
0.749,0.108,1398.082,0.385,0.1,3.623,2.571,3.63
0.812,0.108,1861.786,0.394,0.1,6.812,2.299,3.135
0.809,0.098,1576.277,0.446,0.091,6.105,3.492,4.578
0.766,0.099,1785.658,0.423,0.086,4.617,3.104,4.301
0.804,0.094,1677.22,0.374,0.09,3.659,2.167,2.944
0.8,0.105,1528.451,0.38,0.1,3.139,2.304,3.122
0.83,0.101,1499.924,0.358,0.088,9.045,2.01,2.615
0.833,0.099,1872.1,0.41,0.086,9.513,2.443,3.232
0.734,0.095,1697.473,0.384,0.1,8.551,2.576,3.649
0.797,0.107,1511.988,0.4,0.1,6.752,2.681,3.604
0.832,0.1,1410.182,0.417,0.097,9.693,2.809,3.612
0.813,0.098,1666.43,0.424,0.093,5.738,2.978,3.929
0.877,0.098,1533.544,0.384,0.096,2.358,2.122,2.535
0.837,0.097,1499.598,0.376,0.1,4.989,2.18,2.802
0.764,0.101,1681.571,0.426,0.1,3.433,3.228,4.448
0.742,0.106,1659.723,0.389,0.1,7.532,2.68,3.766
0.834,0.105,1594.371,0.423,0.1,4.368,2.864,3.679
0.726,0.1,1798.403,0.367,0.09,5.756,2.233,3.223
0.825,0.104,1659.864,0.434,0.1,9.475,3.123,4.041
0.903,0.099,1761.492,0.396,0.1,9.94,2.189,2.473
0.824,0.097,1485.201,0.369,0.1,6.28,2.141,2.807
0.799,0.108,1531.076,0.4,0.096,4.203,2.632,3.544
0.834,0.098,1437.163,0.428,0.1,5.516,2.975,3.805
0.807,0.098,1534.146,0.39,0.087,9.003,2.462,3.286
0.819,0.109,1828.727,0.37,0.1,3.905,1.95,2.66
0.903,0.095,1818.233,0.403,0.097,2.5,2.146,2.48
0.798,0.103,1692.321,0.424,0.092,8.544,3.047,4.081
0.912,0.106,1606.382,0.363,0.1,6.239,1.963,2.114
0.89,0.1,1701.356,0.349,0.1,9.175,1.827,2.107
0.77,0.091,1616.5,0.353,0.1,7.483,2.035,2.847
0.742,0.099,1325.13,0.376,0.1,2.284,2.376,3.414
0.75,0.095,1600.464,0.338,0.08,8.298,1.915,2.724
0.721,0.099,1631.311,0.392,0.1,3.527,2.817,3.985
0.749,0.104,1518.711,0.411,0.096,3.014,3.066,4.269
0.841,0.099,1491.293,0.412,0.1,6.499,2.698,3.421
0.742,0.099,1522.004,0.407,0.1,5.525,3.052,4.253
0.789,0.101,1639.717,0.382,0.1,4.414,2.356,3.228
0.874,0.101,1462.147,0.415,0.08,6.709,2.602,3.109
0.724,0.105,1675.632,0.403,0.1,7.946,3.017,4.244
0.867,0.098,1575.829,0.427,0.1,5.947,2.826,3.436
0.784,0.104,1552.196,0.396,0.1,8.305,2.667,3.63
0.754,0.101,1713.725,0.37,0.093,5.349,2.268,3.209
0.843,0.098,1601.825,0.407,0.1,5.991,2.578,3.271
0.832,0.098,1560.983,0.367,0.097,6.355,2.093,2.713
0.882,0.098,1751.905,0.443,0.099,4.524,2.936,3.52
0.85,0.101,1557.459,0.412,0.1,4.908,2.631,3.297
0.864,0.097,1740.689,0.416,0.1,6.092,2.583,3.195
0.784,0.106,1601.262,0.41,0.076,9.067,2.896,3.935
0.767,0.101,1493.497,0.36,0.1,6.403,2.177,3.042
0.853,0.106,1636.006,0.395,0.1,2.869,2.307,2.906
0.865,0.093,1526.624,0.408,0.086,7.848,2.535,3.089
0.931,0.098,1462.751,0.376,0.1,6.131,2.032,2.038
0.802,0.092,1424.801,0.41,0.083,5.196,2.793,3.739
0.796,0.097,1508.58,0.423,0.098,7.531,3.086,4.121
0.858,0.105,1682.238,0.38,0.1,3.334,2.096,2.624
0.792,0.093,1729.237,0.373,0.097,8.283,2.164,2.982
0.899,0.099,1742.234,0.43,0.1,7.731,2.683,3.08
0.877,0.095,1520.515,0.337,0.086,3.483,1.753,2.076
0.804,0.099,1652.968,0.378,0.1,8.771,2.274,3.067
0.853,0.104,1503.626,0.391,0.1,3.542,2.29,2.861
0.854,0.101,1639.418,0.409,0.091,7.42,2.582,3.22
0.751,0.103,1757.515,0.455,0.1,4.943,3.977,5.458
0.89,0.098,1385.795,0.388,0.099,8.045,2.194,2.513
0.814,0.107,1848.431,0.44,0.1,2.464,3.073,4.131
0.869,0.102,1723.58,0.388,0.1,3.999,2.153,2.645
0.789,0.099,1692.875,0.411,0.1,5.764,2.834,3.849
0.887,0.099,1664.3,0.369,0.093,7.717,1.999,2.325
0.799,0.106,1696.651,0.395,0.1,6.923,2.52,3.41
0.716,0.101,1868.81,0.428,0.094,9.632,3.41,4.826
0.89,0.102,1696.615,0.384,0.099,6.472,2.125,2.465
0.748,0.099,1551.571,0.361,0.1,4.414,2.219,3.138
0.789,0.097,1636.383,0.399,0.097,5.469,2.644,3.595
0.907,0.103,1546.264,0.393,0.086,2.604,2.164,2.388
0.907,0.101,1826.596,0.376,0.1,2.936,1.854,2.11
0.824,0.1,1765.93,0.433,0.1,6.141,3.029,3.971
0.833,0.101,1621.023,0.404,0.1,9.806,2.581,3.326
0.806,0.096,1701.579,0.386,0.1,3.956,2.318,3.138
0.786,0.104,1772.5,0.455,0.097,8.218,3.721,5.004
0.791,0.107,1509.399,0.365,0.1,4.933,2.168,2.966
