RUN,DPCOEF,POROS,MMP,SOINIT,SWINIT,XKVH,SORW,SORG,SORM,SGR,SSR,SWC,SWIR,KWRO,KRSMAX,W,oil_recovery_at_1hcpv,oil_recovery_at_2hcpv
618,0.31,0.116,1636.0,0.432,0.568,0.08,0.454,0.219,0.081,0.068,0.068,0.166,0.166,0.47,0.49,0.67,13.47,22.33
619,0.43,0.107,1443.0,0.583,0.417,0.03,0.467,0.184,0.085,0.06,0.06,0.148,0.148,0.442,0.524,0.436,19.02,27.76
620,0.78,0.119,1677.0,0.45,0.55,0.1,0.398,0.289,0.05,0.002,0.002,0.163,0.163,0.414,0.254,0.292,8.47,11.55
621,0.49,0.105,1846.0,0.527,0.473,0.07,0.415,0.173,0.049,0.036,0.036,0.135,0.135,0.369,0.107,0.435,13.65,20.6
622,0.52,0.12,1478.0,0.449,0.551,0.04,0.211,0.184,0.031,0.02,0.02,0.105,0.105,0.391,0.408,0.37,10.81,17.24
623,0.57,0.094,1316.0,0.466,0.534,0.05,0.206,0.195,0.05,0.027,0.027,0.15,0.15,0.297,0.394,0.427,10.71,16.8
624,0.38,0.113,1613.0,0.477,0.523,0.03,0.308,0.31,0.059,0.019,0.019,0.161,0.161,0.237,0.253,0.362,14.07,22.67
625,0.47,0.119,1307.0,0.578,0.422,0.09,0.36,0.338,0.086,0.023,0.023,0.108,0.108,0.325,0.251,0.703,17.69,25.81
626,0.77,0.103,1774.0,0.597,0.403,0.02,0.487,0.157,0.087,0.02,0.02,0.159,0.159,0.299,0.361,0.764,13.2,17.25
627,0.53,0.105,1468.0,0.463,0.537,0.03,0.494,0.152,0.079,0.041,0.041,0.127,0.127,0.163,0.6,0.7,11.15,17.65
628,0.5,0.112,1667.0,0.517,0.483,0.05,0.374,0.269,0.097,0.069,0.069,0.141,0.141,0.473,0.468,0.61,13.34,20.52
629,0.95,0.1,1766.0,0.45,0.55,0.01,0.223,0.245,0.079,0.019,0.019,0.124,0.124,0.377,0.549,0.334,,
630,0.43,0.097,1511.0,0.441,0.559,0.09,0.296,0.288,0.051,0.004,0.004,0.096,0.096,0.455,0.246,0.307,11.78,19.29
631,0.61,0.097,1324.0,0.437,0.563,0.07,0.265,0.342,0.057,0.038,0.038,0.148,0.148,0.316,0.112,0.395,9.39,14.77
632,0.42,0.103,1709.0,0.507,0.493,0.03,0.382,0.331,0.067,0.005,0.005,0.107,0.107,0.204,0.272,0.647,14.34,22.66
633,0.84,0.111,1721.0,0.551,0.449,0.08,0.233,0.264,0.037,0.046,0.046,0.152,0.152,0.17,0.206,0.739,10.78,13.47
634,0.42,0.099,1343.0,0.461,0.539,0.08,0.438,0.181,0.032,0.069,0.069,0.157,0.157,0.119,0.177,0.552,12.77,20.7
635,0.78,0.098,1687.0,0.496,0.504,0.05,0.342,0.2,0.098,0.05,0.05,0.15,0.15,0.25,0.488,0.696,9.38,12.69
636,0.91,0.11,1850.0,0.497,0.503,0.06,0.231,0.28,0.042,0.008,0.008,0.119,0.119,0.419,0.571,0.204,8.92,10.76
637,0.91,0.106,1858.0,0.552,0.448,0.05,0.335,0.257,0.098,0.053,0.053,0.151,0.151,0.173,0.481,0.569,10.19,12.2
638,0.9,0.108,1627.0,0.552,0.448,0.1,0.252,0.326,0.09,0.086,0.086,0.143,0.143,0.191,0.419,0.511,10.67,13.09
639,0.81,0.111,1449.0,0.549,0.451,0.03,0.469,0.284,0.087,0.007,0.007,0.078,0.078,0.471,0.141,0.791,10.81,13.87
640,0.87,0.097,1720.0,0.547,0.453,0.09,0.272,0.255,0.1,0.05,0.05,0.095,0.095,0.101,0.568,0.576,10.63,13.09
641,0.71,0.093,1422.0,0.463,0.537,0.08,0.448,0.301,0.037,0.011,0.011,0.086,0.086,0.28,0.539,0.541,9.12,13.57
642,0.78,0.1,1754.0,0.569,0.431,0.08,0.469,0.173,0.092,0.063,0.063,0.153,0.153,0.321,0.126,0.294,11.74,15.41
643,0.41,0.109,1762.0,0.468,0.532,0.04,0.372,0.293,0.038,0.08,0.08,0.139,0.139,0.332,0.112,0.442,13.23,21.41
644,0.86,0.097,1647.0,0.415,0.585,0.1,0.424,0.332,0.09,0.011,0.011,0.133,0.133,0.109,0.494,0.388,7.81,9.62
645,0.3,0.104,1519.0,0.479,0.521,0.04,0.45,0.31,0.099,0.053,0.053,0.125,0.125,0.202,0.41,0.534,15.8,25.53
646,0.69,0.113,1575.0,0.593,0.407,0.05,0.46,0.16,0.096,0.066,0.066,0.116,0.116,0.208,0.383,0.425,13.97,19.59
647,0.57,0.097,1619.0,0.522,0.478,0.05,0.291,0.152,0.034,0.043,0.043,0.135,0.135,0.499,0.115,0.408,12.27,18.77
648,0.34,0.098,1889.0,0.401,0.599,0.02,0.278,0.265,0.057,0.004,0.004,0.144,0.144,0.338,0.453,0.284,9.48,16.09
649,0.61,0.095,1688.0,0.419,0.581,0.04,0.37,0.262,0.078,0.003,0.003,0.142,0.142,0.283,0.178,0.512,8.93,14.06
650,0.79,0.109,1490.0,0.566,0.434,0.05,0.354,0.205,0.076,0.091,0.091,0.087,0.087,0.22,0.173,0.781,11.59,15.06
