RUN,DPCOEF,POROS,MMP,SOINIT,SWINIT,XKVH,SORW,SORG,SORM,SGR,SSR,SWC,SWIR,KWRO,KRSMAX,W,oil_recovery_at_1hcpv,oil_recovery_at_2hcpv
96,0.68,0.094,1879.0,0.413,0.587,0.13,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,3.03,4.42
97,0.72,0.094,1647.0,0.462,0.538,0.03,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,4.35,5.95
98,0.88,0.074,1499.0,0.391,0.609,0.04,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.29,2.72
99,0.81,0.12,1536.0,0.426,0.574,0.12,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,3.04,4.07
100,0.75,0.043,1394.0,0.435,0.565,0.12,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,3.55,4.84
101,0.94,0.066,1437.0,0.443,0.557,0.03,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,,
102,0.66,0.087,1300.0,0.381,0.619,0.1,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.96,4.29
103,0.83,0.089,1357.0,0.363,0.637,0.03,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.06,2.74
104,0.81,0.101,1593.0,0.375,0.625,0.0,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.26,3.04
105,0.8,0.1,1835.0,0.403,0.597,0.13,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.55,3.45
106,0.84,0.13,1660.0,0.453,0.547,0.12,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,3.39,4.35
107,0.77,0.074,1402.0,0.459,0.541,0.12,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,3.94,5.32
108,0.96,0.082,1861.0,0.392,0.608,0.06,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,,
109,0.66,0.097,1562.0,0.434,0.566,0.04,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,4.03,5.75
110,0.88,0.084,1482.0,0.468,0.532,0.14,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,3.56,4.18
111,0.87,0.09,1669.0,0.332,0.668,0.14,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,1.62,2.0
112,0.99,0.089,1604.0,0.379,0.621,0.07,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,,
113,0.97,0.055,1773.0,0.34,0.66,0.07,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,,
114,0.77,0.076,1657.0,0.374,0.626,0.15,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.41,3.29
115,0.96,0.069,1714.0,0.333,0.667,0.02,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,,
116,0.69,0.083,1601.0,0.41,0.59,0.04,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,3.35,4.73
117,0.98,0.095,1494.0,0.394,0.606,0.05,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,,
118,0.96,0.074,1390.0,0.38,0.62,0.05,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,,
119,0.94,0.11,1573.0,0.428,0.572,0.07,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,,
120,0.92,0.114,1704.0,0.446,0.554,0.11,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,3.1,3.32
121,0.7,0.106,1816.0,0.365,0.635,0.11,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.39,3.48
122,0.73,0.11,1734.0,0.383,0.617,0.1,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.7,3.75
123,0.76,0.088,1403.0,0.408,0.592,0.08,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.98,4.06
124,0.75,0.114,1844.0,0.45,0.55,0.14,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,3.66,5.04
125,0.73,0.073,1857.0,0.432,0.568,0.09,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,3.3,4.65
126,0.93,0.096,1698.0,0.407,0.593,0.04,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.5,2.61
127,0.65,0.103,1590.0,0.414,0.586,0.04,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,3.62,5.24
128,0.68,0.104,1605.0,0.337,0.663,0.05,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.22,3.19
129,0.94,0.081,1561.0,0.357,0.643,0.01,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,,
130,0.86,0.128,1330.0,0.414,0.586,0.13,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.66,3.29
131,0.95,0.093,1322.0,0.413,0.587,0.11,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,,
132,0.94,0.101,1314.0,0.389,0.611,0.11,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,,
133,0.69,0.07,1804.0,0.353,0.647,0.04,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.32,3.39
134,0.98,0.113,1840.0,0.341,0.659,0.12,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,,
135,0.7,0.079,1350.0,0.421,0.579,0.06,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,3.51,4.92
136,0.79,0.079,1500.0,0.402,0.598,0.08,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.72,3.69
137,0.86,0.081,1746.0,0.343,0.657,0.11,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,1.76,2.23
138,0.74,0.091,1864.0,0.339,0.661,0.02,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,1.71,2.49
139,0.77,0.099,1465.0,0.449,0.551,0.14,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,3.72,5.03
140,0.95,0.062,1527.0,0.345,0.655,0.08,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,,
141,0.77,0.098,1554.0,0.391,0.609,0.0,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.65,3.62
142,0.96,0.073,1399.0,0.409,0.591,0.09,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,,
143,0.8,0.075,1488.0,0.342,0.658,0.1,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,1.9,2.57
144,0.73,0.098,1381.0,0.436,0.564,0.11,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,3.69,5.05
145,0.68,0.092,1350.0,0.354,0.646,0.11,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.47,3.57
146,0.92,0.069,1741.0,0.451,0.549,0.11,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,3.17,3.4
147,0.81,0.094,1830.0,0.378,0.622,0.09,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.18,2.93
148,0.67,0.091,1544.0,0.342,0.658,0.11,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.33,3.37
149,0.72,0.085,1708.0,0.338,0.662,0.08,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.1,2.95
150,0.85,0.124,1683.0,0.42,0.58,0.07,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.78,3.52
151,0.71,0.094,1827.0,0.38,0.62,0.02,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.53,3.68
152,0.96,0.088,1576.0,0.457,0.543,0.15,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,,
153,0.8,0.093,1787.0,0.351,0.649,0.01,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.01,2.72
154,0.86,0.09,1864.0,0.377,0.623,0.01,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,1.94,2.5
155,0.91,0.099,1781.0,0.397,0.603,0.15,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.37,2.56
156,0.67,0.128,1516.0,0.448,0.552,0.06,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,4.35,6.12
157,0.7,0.083,1837.0,0.331,0.669,0.07,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,1.81,2.69
158,0.78,0.056,1621.0,0.376,0.624,0.11,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.4,3.25
159,0.83,0.086,1338.0,0.418,0.582,0.06,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.82,3.7
160,0.8,0.087,1566.0,0.365,0.635,0.11,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.17,2.94
161,0.94,0.083,1519.0,0.372,0.628,0.13,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,,
162,0.89,0.107,1609.0,0.427,0.573,0.04,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.82,3.21
163,0.69,0.082,1362.0,0.441,0.559,0.12,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,4.02,5.63
164,0.9,0.084,1316.0,0.444,0.556,0.13,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,3.07,3.43
165,0.85,0.09,1851.0,0.388,0.612,0.12,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.14,2.78
